fov,threshold_source,positive_threshold_centered_pct,negative_threshold_centered_pct,n_valid_roi,positive_count,positive_rate_pct,negative_count,negative_rate_pct,reference_tail_rate_pct
1-1,260904_6ms,74.63134002685547,-45.54292297363281,91153,163,0.17882022533542505,1414,1.5512380283698837,0.1
1-2,260904_6ms,74.63134002685547,-45.54292297363281,91365,156,0.17074372024298146,1698,1.8584797241832212,0.1
1-3,260904_6ms,74.63134002685547,-45.54292297363281,91298,574,0.6287103770071634,1041,1.1402221297290194,0.1
1-4,260904_6ms,74.63134002685547,-45.54292297363281,91322,1912,2.093690457940036,5340,5.847440923326252,0.1
1-5,260904_6ms,74.63134002685547,-45.54292297363281,91197,140,0.1535138217265919,2520,2.763248791078654,0.1
1-6,260904_6ms,74.63134002685547,-45.54292297363281,91590,1477,1.6126214652254611,5918,6.46140408341522,0.1
1-7,260904_6ms,74.63134002685547,-45.54292297363281,91592,321,0.35046728971962615,1842,2.01109267184907,0.1
1-8,260904_6ms,74.63134002685547,-45.54292297363281,91304,650,0.7119074739332341,2268,2.484009462893192,0.1
