"fov","tau_pair_pct_measured","device_noise_pair_pct_measured","operation_caused_spread_pct_measured","background_k_6ms_model_estimate","roi_expansion_factor_theoretical","frame_averaging_factor_theoretical","projected_operation_spread_pct_theoretical","projected_3sigma_limit_pct_theoretical"
"1-1","17.408899307250977","10.52153491973877","13.869645922759572","8.93","2","31.622776601683793","0.0695922301702461","0.20877669051073827"
"1-2","17.40713882446289","10.52153491973877","13.86743613602893","8.93","2","31.622776601683793","0.06958114236110934","0.20874342708332802"
"1-3","21.857711791992188","10.52153491973877","19.15872823844297","8.93","2","31.622776601683793","0.09613068947571497","0.2883920684271449"
"1-4","29.160850524902344","10.52153491973877","27.1965532056622","8.93","2","31.622776601683793","0.13646121905823055","0.40938365717469166"
"1-5","15.25061321258545","10.52153491973877","11.039859885551246","8.93","2","31.622776601683793","0.055393517216024694","0.1661805516480741"
"1-6","30.815570831298828","10.52153491973877","28.963713653319957","8.93","2","31.622776601683793","0.14532810991514472","0.43598432974543416"
"1-7","20.372333526611328","10.52153491973877","17.445035862737846","8.93","2","31.622776601683793","0.08753207961103443","0.2625962388331033"
"1-8","24.486957550048828","10.52153491973877","22.111272984398955","8.93","2","31.622776601683793","0.11094535559573064","0.33283606678719196"
