fov,device_noise_source,tau_pair_pct,device_noise_pair_pct,variance_difference_pct2,operation_caused_spread_pct,nonnegative_variance_difference
1-1,260901_6ms,17.408899307250977,10.459769248962402,193.66300234846403,13.916285508297968,1
1-1,260904_6ms,17.408899307250977,10.52153491973877,192.36707802272122,13.869645922759572,1
1-2,260901_6ms,17.40713882446289,10.459769248962402,193.6017093125838,13.91408312870754,1
1-2,260904_6ms,17.40713882446289,10.52153491973877,192.305784986841,13.86743613602893,1
1-3,260901_6ms,21.857711791992188,10.459769248962402,368.3527920402548,19.19251916868275,1
1-3,260904_6ms,21.857711791992188,10.52153491973877,367.056867714512,19.15872823844297,1
1-4,260901_6ms,29.160850524902344,10.459769248962402,740.9484305941578,27.220367936421393,1
1-4,260904_6ms,29.160850524902344,10.52153491973877,739.652506268415,27.1965532056622,1
1-5,260901_6ms,15.25061321258545,10.459769248962402,123.17443061834638,11.098397659948322,1
1-5,260904_6ms,15.25061321258545,10.52153491973877,121.87850629260356,11.039859885551246,1
1-6,260901_6ms,30.815570831298828,10.459769248962402,840.1926329172557,28.986076535420512,1
1-6,260904_6ms,30.815570831298828,10.52153491973877,838.8967085915128,28.963713653319957,1
1-7,260901_6ms,20.372333526611328,10.459769248962402,305.62520057795246,17.48213947370151,1
1-7,260904_6ms,20.372333526611328,10.52153491973877,304.32927625220964,17.445035862737846,1
1-8,260901_6ms,24.486957550048828,10.459769248962402,490.2043173163538,22.140558197939676,1
1-8,260904_6ms,24.486957550048828,10.52153491973877,488.908392990611,22.111272984398955,1
