label,pre,post,n_pre_detected,n_post_detected,n_grid,n_valid_roi,n_prop_c_both,n_prop_c_none,lattice_fit_matches,u1_x,u1_y,u2_x,u2_y,ecc_rho,tx_px,ty_px,rotation_deg,area_scale_change_pct,mean_signal_adu,sd_pair_difference_adu,median_relative_change_pct,mad_relative_change_pct,tau_pair_pct,tau_single_equivalent_pct,tau_relative_pair_pct,legacy_tau_raw_p999_pct,legacy_tau_net_p999_pct,exposure_ms
260901_2ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\1-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\1-2.tif,75320,75739,91622,91622,63016,10048,35032,-6.739896640802258,-2.9362020943035967,5.671038598618137,-4.268549390594841,0.9628321830110611,-0.03826343,0.060400303,0.0,0.0,1640.234375,256.0434265136719,-5.900981903076172,9.853462219238281,15.610173225402832,11.038059343179022,16.054407119750977,2.530337333679199,29.37142562866211,2
260901_4ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\2-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\2-2.tif,80529,82220,91615,88729,65930,7775,38894,-6.740038091202127,-2.9364322539356493,5.671270728116582,-4.26865083029427,0.8546711737003254,-26.2663,-57.312317,0.017409100399665117,1.6191178011876417,1790.740966796875,556.2319946289062,-24.56253433227539,13.416492462158203,31.061553955078125,21.963835435827566,29.786245346069336,4.4925994873046875,37.321136474609375,4
260901_6ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\3-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\3-2.tif,81529,81602,91626,91626,76182,8310,39691,-6.740048481481452,-2.936230737403137,5.6711148205164115,-4.2682675128927965,0.9919108981882941,-0.054476116,0.07604963,0.0001486301784624391,-0.005173817008419235,2835.897705078125,296.62835693359375,-3.540640354156494,6.939652442932129,10.459769248962402,7.396173765587836,14.158197402954102,1.8788299560546875,17.685863494873047,6
260901_9ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\4-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\4-2.tif,82006,82054,91626,91626,77708,8309,40060,-6.73996127864435,-2.936468083460042,5.6709118298523356,-4.268132041607935,0.9889456877587706,0.041766677,0.008872961,-0.00046777884121183426,0.004535810599515244,3550.25439453125,323.7716979980469,-4.201823711395264,5.9832658767700195,9.119675636291504,6.448584484643464,9.846216201782227,1.6043566465377808,13.121783256530762,9
260901_13ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\5-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\5-2.tif,82204,82223,91621,91621,78727,8623,40430,-6.7399979189072425,-2.936420900844575,5.671295959815818,-4.268405115895049,0.9944969081991719,0.08393783,-0.13666739,0.0003973440444865133,0.0019907753195713696,4431.06298828125,337.31610107421875,-5.162161827087402,4.948535442352295,7.612532615661621,5.382873434538098,8.3438081741333,1.4462194442749023,13.169594764709473,13
260901_15ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\6-1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\gain_260901\6-2.tif,81877,81885,91621,91621,78374,8800,40154,-6.740158977715099,-2.9363897695309964,5.671046218121673,-4.268263699139744,0.996822776670481,-0.0074805696,-0.0019634513,-0.00016050990553327028,-0.0005871074745145144,4851.34814453125,346.08038330078125,-1.1861724853515625,4.829537391662598,7.133694648742676,5.044283861040132,8.308109283447266,1.2808794975280762,10.307838439941406,15
260904_6ms,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\repeat_260904\1.tif,C:\Users\chuya\Documents\Codex\2026-09-08\p50-dna-a-260903-pair-pre\work\input\repeat_260904\2.tif,82458,82464,91678,91678,67653,14224,18544,-6.737385628303855,-2.9330370142150515,5.671015081989873,-4.268726635399498,0.990524261346129,-0.0023324979,0.046817783,-0.0004778251591325991,-0.0009000341864129346,2708.081787109375,284.9317626953125,-3.5344908237457275,6.942532062530518,10.52153491973877,7.439848690238341,12.558273315429688,1.8400882482528687,17.564680099487305,6
