label,name,rho,determinant,coarse_score,tx_px,ty_px,a00,a01,a10,a11,level_scores
1-1,affine_coarse_025,0.978128563027346,1.0006822347640991,0.7584946751594543,-7.644956588745117,12.017573356628418,1.000349998474121,0.0002603581524454057,-0.0002282651694258675,1.0003321170806885,"[0.99758445976679, 0.9950339610634593, 0.978128563027346]"
1-2,affine_coarse_025,0.9838423175714476,1.0005244016647339,0.7574995756149292,-11.55012035369873,2.33148455619812,1.0002535581588745,0.0003144235524814576,-0.00021735460904892534,1.0002707242965698,"[0.9553593037793874, 0.9848824750069275, 0.9838423175714476]"
1-3,affine_coarse_025,0.9838440495666441,1.0005055665969849,0.7532180547714233,-7.267199516296387,-10.65732479095459,1.0004631280899048,0.0004539117799140513,-0.00018756056670099497,1.0000423192977905,"[0.9960136763402213, 0.9715784569833248, 0.9838440495666441]"
1-4,affine_coarse_025,0.95584103355948,1.0009783506393433,0.6834306716918945,-11.943741798400879,0.07399428635835648,1.0007197856903076,0.0002896282239817083,-0.00022891596017871052,1.0002583265304565,"[0.9771725931421996, 0.9671110447676553, 0.95584103355948]"
1-5,affine_coarse_025,0.9923835041788848,1.0005314350128174,0.7501384019851685,6.4511895179748535,-8.47087574005127,1.0002065896987915,0.00023783165670465678,-0.0001840395270846784,1.0003247261047363,"[0.9908719630246058, 0.9725010388877993, 0.9923835041788848]"
1-6,affine_coarse_025,0.9714441361550865,0.9952155351638794,0.7564689517021179,1.3268342018127441,-2.0290849208831787,1.0006407499313354,-0.0001701178407529369,-0.0004506510740611702,0.9945783615112305,"[0.9686558206645858, 0.9914527765538582, 0.9714441361550865]"
1-6,affine_coarse_0125,0.9714419231586767,0.9952154755592346,0.7564689517021179,1.3268746137619019,-2.0289103984832764,1.0006407499313354,-0.00017012946773320436,-0.00045070654596202075,0.9945783019065857,"[0.9619524680152861, 0.9686557080189886, 0.9914573791855847, 0.9714419231586767]"
1-6,affine_pitch_shift_0,0.9714441289816534,0.9952155351638794,0.7564689517021179,1.3268340826034546,-2.0290911197662354,1.0006407499313354,-0.0001701171713648364,-0.0004506417899392545,0.9945783615112305,"[0.8878144429384259, 0.9686556365377286, 0.9914557677430886, 0.9714441289816534]"
1-6,affine_pitch_shift_1,0.9714419291752704,0.9952154755592346,0.7564689517021179,1.3268731832504272,-2.028937578201294,1.0006407499313354,-0.0001701319997664541,-0.0004506929835770279,0.9945783019065857,"[0.9562504699422223, 0.9686555601490404, 0.9914538330851087, 0.9714419291752704]"
1-6,affine_pitch_shift_2,0.9714441442320668,0.9952155351638794,0.7564689517021179,1.3268336057662964,-2.029083251953125,1.0006407499313354,-0.0001701180008240044,-0.0004506502882577479,0.9945783615112305,"[0.8886277752473065, 0.968665130557346, 0.9914538170189444, 0.9714441442320668]"
1-6,affine_pitch_shift_3,0.971444120387454,0.9952155351638794,0.7564689517021179,1.3268343210220337,-2.0290942192077637,1.0006407499313354,-0.0001701204018900171,-0.0004506462428253144,0.9945783615112305,"[0.9204408035028888, 0.9686557063619077, 0.9914527710113742, 0.971444120387454]"
1-6,affine_pitch_shift_4,0.971444148317069,0.9952155351638794,0.7564689517021179,1.326833963394165,-2.0290820598602295,1.0006407499313354,-0.00017011750605888665,-0.0004506486584432423,0.9945783615112305,"[0.9597662501646603, 0.9686557479040425, 0.9914557684506382, 0.971444148317069]"
1-6,affine_pitch_shift_5,0.9714440821335709,0.9952155351638794,0.7564689517021179,1.3268376588821411,-2.0290982723236084,1.0006407499313354,-0.00017013284377753735,-0.00045065092854201794,0.9945783615112305,"[0.9608230401264393, 0.9686558632632153, 0.991460476558346, 0.9714440821335709]"
1-7,affine_coarse_025,0.9889179296937641,0.9998932480812073,0.744928240776062,-4.144362926483154,-6.390973091125488,0.9998353123664856,0.0001741259329719469,-0.00010105014371220022,1.0000579357147217,"[0.9593162603528737, 0.9899162172787872, 0.9889179296937641]"
1-8,affine_coarse_025,0.9872185122713778,1.0015454292297363,0.7409884929656982,9.080147743225098,-2.81941294670105,1.0007513761520386,0.00010867576929740608,-0.00020944062271155417,1.00079345703125,"[0.9885020638412239, 0.9684776094872956, 0.9872185122713778]"
260901_2ms,affine_coarse_025,0.7548757716085048,1.1220570802688599,0.585951030254364,161.5382537841797,-355.1710510253906,0.8649092316627502,-0.04781880974769592,0.00035290876985527575,1.2972924709320068,"[0.8384544754554886, 0.8745144777748215, 0.7548757716085048]"
260901_2ms,translation_fallback_025,0.9628321830110611,1.0,0.585951030254364,-0.03826342895627022,0.060400303453207016,1.0,0.0,0.0,1.0,"[0.992846105268514, 0.9869353951277483, 0.9628321830110611]"
260901_4ms,affine_coarse_025,0.8546711737003254,1.032644510269165,0.7735288143157959,-26.266300201416016,-57.31231689453125,1.0001055002212524,0.014023148454725742,0.00030387818696908653,1.0325398445129395,"[0.9143402040569498, 0.9362800605184181, 0.8546711737003254]"
260901_6ms,affine_coarse_025,0.9919108981882941,0.9998965263366699,0.8445110321044922,-0.054476115852594376,0.07604963332414627,0.9999934434890747,6.446374027291313e-05,2.594068973849062e-06,0.9999030828475952,"[0.9254747330356192, 0.9976817527550144, 0.9919108981882941]"
260901_9ms,affine_coarse_025,0.9889456877587706,1.0000907182693481,0.8933289051055908,0.04176667705178261,0.008872960694134235,0.999991774559021,-5.354985114536248e-05,-8.164213795680553e-06,1.0000989437103271,"[0.9991059857068758, 0.9952623269089254, 0.9889456877587706]"
260901_13ms,affine_coarse_025,0.9944969081991719,1.00003981590271,0.9290897846221924,0.08393783122301102,-0.1366673856973648,0.999998927116394,-2.4291162844747305e-05,6.9349543991847895e-06,1.000040888786316,"[0.9375787063593516, 0.993561869975012, 0.9944969081991719]"
260901_15ms,affine_coarse_025,0.996822776670481,0.9999882578849792,0.9417993426322937,-0.007480569649487734,-0.0019634512718766928,0.9999935626983643,6.182851939229295e-05,-2.80140830000164e-06,0.999994695186615,"[0.9414611209719704, 0.9985468838833494, 0.996822776670481]"
260904_6ms,affine_coarse_025,0.990524261346129,0.9999819993972778,0.8303084373474121,-0.0023324978537857533,0.04681778326630592,0.9999985098838806,-5.907639206270687e-05,-8.339609848917462e-06,0.9999834895133972,"[0.9243925098219634, 0.9965064578836818, 0.990524261346129]"
