device_noise_source,device_noise_pair_pct,background_k_6ms_model_estimate,background_reduction_factor_model,roi_expansion_factor_theoretical,frame_averaging_factor_theoretical,detection_limit_3sigma_pct_theoretical
260901_6ms,10.459769248962402,8.93,3.151190251317746,2.0,31.622776601683793,0.15744857651491295
260904_6ms,10.52153491973877,8.93,3.151190251317746,2.0,31.622776601683793,0.15837832139835695
