dataset,status,high_sample,blank_sample,high_fov_n,blank_fov_n,high_points,blank_points,threshold_blank_mean_minus_3sd,high_exceedance_rate,blank_exceedance_rate,high_p01,blank_p01,fov_mannwhitney_U,fov_mannwhitney_p,point_mannwhitney_p
260824_SAM,ok,1,14,8,5,685208,419319,-0.47526678739275696,0.009052725595731516,0.011151414555505475,-0.43488711625337606,-0.5152897071838378,15.0,0.5236985236985237,0.001250815394112446
260825_DNA,ok,1,0,8,7,660203,593536,-0.4261447635237479,0.011426788427195878,0.010501469161095536,-0.46959700345993044,-0.4416741549968719,33.0,0.6125874125874127,0.31790913882762384
260826_SAM,ok,1,9,7,1,583557,78604,-0.5415277259402693,0.005932582421254479,0.010851865045035877,-0.391745491027832,-0.5564699530601501,6.0,0.5,3.090655477630904e-12
260828_DNA,ok,1,8,8,7,673286,585078,-0.428676943780129,0.0030685325404063058,0.009603847692102591,-0.1953740805387497,-0.4132989647984504,30.0,0.8665112665112666,0.008443911166663284
260828_SAM,ok,1,8,4,8,335063,670568,-0.46008641201769696,0.014194345540987814,0.010200307798761648,-0.5844659668207168,-0.4690919065475464,23.0,0.2828282828282829,1.0175000490784303e-14
260829_SAM,ok,1,8,8,7,662779,584136,-0.32071890240712325,0.00856394061972392,0.008073462344385555,-0.29077235698699955,-0.2770843207836151,24.0,0.6943278943278944,2.5779102217789923e-14
