rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-7,1956,949,321368.968750,300485.218750,6.498369694,-0.859561086,7.357930660,950.497681,False,False
2,1-7,1261,548,297993.968750,281176.781250,5.643473625,-0.859561086,6.503034592,1383.482178,False,False
3,1-7,1964,966,308321.968750,294567.000000,4.461238384,-0.859561086,5.320799351,931.922485,False,False
4,1-7,1963,959,306185.000000,293177.531250,4.248244762,-0.859561086,5.107805729,939.119385,False,False
5,1-7,1958,971,322486.000000,308810.718750,4.240574837,-0.859561086,5.100135803,928.103882,False,False
6,1-7,1962,952,306789.968750,296043.156250,3.502984285,-0.859561086,4.362545490,946.316284,False,False
7,1-7,1984,1906,358668.031250,346704.187500,3.335632801,-0.859561086,4.195193768,0.000000,True,False
8,1-7,1794,1283,314449.000000,304235.500000,3.248062372,-0.859561086,4.107623577,629.088379,False,False
9,1-7,1211,1386,313754.000000,303825.312500,3.164483309,-0.859561086,4.024044514,539.772095,False,False
10,1-7,1500,1759,323119.000000,313405.312500,3.006228447,-0.859561086,3.865789413,155.000000,False,False
11,1-7,1887,1500,313034.000000,303964.500000,2.897294760,-0.859561086,3.756855965,413.083740,False,False
12,1-7,1910,1935,340218.000000,330452.031250,2.870505571,-0.859561086,3.730066776,55.544193,False,False
13,1-7,1412,1943,370384.000000,359906.968750,2.828693390,-0.859561086,3.688254356,0.000000,True,False
14,1-7,406,2011,306695.968750,298023.718750,2.827635050,-0.859561086,3.687196255,31.787598,False,False
15,1-7,1005,1700,327718.000000,318468.375000,2.822429419,-0.859561086,3.681990623,230.590698,False,False
16,1-7,2016,1046,299035.968750,290597.062500,2.822036028,-0.859561086,3.681597233,848.575195,False,False
17,1-7,1414,1925,321273.000000,312261.531250,2.804931402,-0.859561086,3.664492607,0.000000,True,False
18,1-7,1790,1701,324826.000000,315823.562500,2.771470308,-0.859561086,3.631031513,210.300781,False,False
19,1-7,1582,1761,327106.000000,318139.500000,2.741166115,-0.859561086,3.600727081,152.984497,False,False
20,1-7,2004,1829,325405.000000,316565.406250,2.716486692,-0.859561086,3.576047897,64.393799,False,False
21,1-7,2016,1827,320111.000000,311497.781250,2.690695524,-0.859561086,3.550256729,67.575195,False,False
22,1-7,1527,1611,320515.000000,311911.562500,2.684261799,-0.859561086,3.543822765,302.000000,False,False
23,1-7,1936,1904,311487.000000,303230.000000,2.650832653,-0.859561086,3.510393620,26.984497,False,False
24,1-7,431,2009,309378.000000,301195.406250,2.644853354,-0.859561086,3.504414558,37.562794,False,False
25,1-7,1670,1032,306679.968750,298581.937500,2.640548229,-0.859561086,3.500109196,880.347290,False,False
26,1-7,1469,1940,373360.031250,363526.031250,2.633912086,-0.859561086,3.493473053,0.000000,True,False
27,1-7,1753,1705,323118.968750,314646.687500,2.622030020,-0.859561086,3.481591225,200.984497,False,False
28,1-7,1477,1839,325031.968750,316524.531250,2.617413998,-0.859561086,3.476974964,79.528687,False,False
29,1-7,1557,1938,362196.000000,352770.250000,2.602392673,-0.859561086,3.461953640,0.000000,True,False
30,1-7,437,2011,314536.968750,306368.468750,2.596992016,-0.859561086,3.456552982,42.775192,False,False
31,1-7,1614,1935,357267.000000,348068.500000,2.574681044,-0.859561086,3.434242249,0.000000,True,False
32,1-7,788,1687,313118.000000,305079.343750,2.567293644,-0.859561086,3.426854610,252.181396,False,False
33,1-7,1161,1623,324318.031250,316048.281250,2.549888849,-0.859561086,3.409450054,304.590698,False,False
34,1-7,1081,1531,316786.968750,308715.531250,2.547907352,-0.859561086,3.407468319,398.590698,False,False
35,1-7,1780,1717,327516.000000,319195.656250,2.540438175,-0.859561086,3.399999142,192.331787,False,False
36,1-7,1471,1733,316680.968750,308699.187500,2.520449638,-0.859561086,3.380010605,185.756592,False,False
37,1-7,1526,1937,371769.000000,362413.937500,2.516367912,-0.859561086,3.375928879,0.000000,True,False
38,1-7,1790,1590,321210.968750,313208.031250,2.491490364,-0.859561086,3.351051331,321.300781,False,False
39,1-7,1736,1551,325829.000000,317748.375000,2.480020761,-0.859561086,3.339581966,356.181396,False,False
40,1-7,1704,1836,323514.031250,315502.500000,2.476409912,-0.859561086,3.335970879,71.196899,False,False
41,1-7,1808,1688,322707.000000,314749.031250,2.466005564,-0.859561086,3.325566769,226.844971,False,False
42,1-7,1395,1789,324128.031250,316144.531250,2.463070869,-0.859561086,3.322631836,130.953491,False,False
43,1-7,1602,1936,363048.000000,354126.937500,2.457264900,-0.859561086,3.316825867,0.000000,True,False
44,1-7,375,1335,318698.968750,310903.656250,2.445981741,-0.859561086,3.305542946,618.559692,False,False
45,1-7,1529,1626,321933.000000,314068.062500,2.443037271,-0.859561086,3.302598476,287.393799,False,False
46,1-7,1459,1852,348064.000000,339566.250000,2.441431761,-0.859561086,3.300992966,64.393799,False,False
47,1-7,1223,1385,311813.031250,304207.843750,2.439014673,-0.859561086,3.298575878,539.000000,False,False
48,1-7,1791,1930,360881.968750,352115.906250,2.429064035,-0.859561086,3.288625240,17.181398,False,False
49,1-7,1314,1747,323615.968750,315799.000000,2.415509462,-0.859561086,3.275070667,183.435669,False,False
50,1-7,983,1732,323212.968750,315425.218750,2.409481287,-0.859561086,3.269042492,199.787598,False,False
51,1-7,1965,974,308423.968750,300995.843750,2.408417225,-0.859561086,3.267978191,923.725586,False,False
52,1-7,1662,1844,335481.000000,327401.625000,2.408296347,-0.859561086,3.267857552,66.787598,False,False
53,1-7,1284,1706,321925.000000,314278.875000,2.375128746,-0.859561086,3.234689713,230.010864,False,False
54,1-7,1669,1744,328016.000000,320236.062500,2.371818304,-0.859561086,3.231379509,168.165894,False,False
55,1-7,1516,1627,322431.000000,314805.187500,2.365092278,-0.859561086,3.224653244,286.590698,False,False
56,1-7,374,1328,308540.968750,301252.875000,2.362119675,-0.859561086,3.221680641,625.756592,False,False
57,1-7,2015,1820,313936.000000,306522.531250,2.361452579,-0.859561086,3.221013546,74.378296,False,False
58,1-7,1702,1933,360015.968750,351533.468750,2.356144190,-0.859561086,3.215705395,0.000000,True,False
59,1-7,1595,1760,325810.000000,318156.062500,2.349205256,-0.859561086,3.208766460,153.544189,False,False
60,1-7,1515,1724,322622.968750,315084.781250,2.336534500,-0.859561086,3.196095467,189.393799,False,False
61,1-7,878,1413,315757.000000,308388.218750,2.333681583,-0.859561086,3.193242550,525.331787,False,False
62,1-7,599,1694,312025.031250,304751.218750,2.331157684,-0.859561086,3.190718651,251.772095,False,False
63,1-7,1188,1579,322616.968750,315106.718750,2.327918530,-0.859561086,3.187479496,347.772095,False,False
64,1-7,1335,1421,319915.000000,312478.000000,2.324673891,-0.859561086,3.184235096,505.300781,False,False
65,1-7,348,1603,320318.000000,312919.781250,2.309642076,-0.859561086,3.169203281,355.875977,False,False
66,1-7,1369,1610,324722.000000,317224.812500,2.308804989,-0.859561086,3.168365955,310.196899,False,False
67,1-7,1973,1970,340118.000000,332310.281250,2.295593023,-0.859561086,3.155154228,38.968994,False,False
68,1-7,991,1687,324332.000000,316900.031250,2.291463614,-0.859561086,3.151024818,244.590698,False,False
69,1-7,1525,1701,322417.000000,315041.687500,2.287501574,-0.859561086,3.147062778,212.196899,False,False
70,1-7,1798,1656,324014.031250,316619.875000,2.282042265,-0.859561086,3.141603470,256.875977,False,False
