rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-3,1260,552,302764.000000,281243.968750,7.107861519,-0.353515267,7.461376667,1530.679077,False,False
2,1-3,718,1918,347175.000000,324390.312500,6.562890053,-0.353515267,6.916405201,162.103882,False,False
3,1-3,283,1937,312614.968750,293215.187500,6.205651760,-0.353515267,6.559166908,236.134888,False,False
4,1-3,762,1917,338700.031250,318159.343750,6.064566135,-0.353515267,6.418081284,206.300781,False,False
5,1-3,339,1930,336634.000000,317106.468750,5.800815105,-0.353515267,6.154330254,181.513184,False,False
6,1-3,441,1929,321404.000000,302774.875000,5.796169758,-0.353515267,6.149684906,79.710083,False,False
7,1-3,1686,1896,310688.968750,292694.312500,5.791857243,-0.353515267,6.145372391,321.134888,False,False
8,1-3,1359,189,296836.968750,280093.312500,5.640689373,-0.353515267,5.994204521,1840.694702,False,False
9,1-3,1272,543,303273.000000,287054.093750,5.347956657,-0.353515267,5.701471806,1532.252197,False,False
10,1-3,674,1922,323127.000000,305935.375000,5.320398331,-0.353515267,5.673913479,117.316284,False,False
11,1-3,794,1918,312386.000000,295935.312500,5.266140461,-0.353515267,5.619655609,238.103882,False,False
12,1-3,1072,1908,350034.968750,331767.281250,5.218818188,-0.353515267,5.572333336,518.072876,False,False
13,1-3,452,1928,320773.000000,304279.406250,5.141826630,-0.353515267,5.495341778,68.906982,False,False
14,1-3,1280,1903,333507.000000,316596.750000,5.070430756,-0.353515267,5.423945904,725.756592,False,False
15,1-3,914,348,293073.000000,278409.781250,5.003263474,-0.353515267,5.356778622,1661.262085,False,False
16,1-3,1184,1904,338263.000000,321357.156250,4.997838020,-0.353515267,5.351353168,630.860474,False,False
17,1-3,1482,1896,335763.000000,319243.562500,4.919969082,-0.353515267,5.273484230,525.134888,False,False
18,1-3,1743,1898,310692.968750,295654.906250,4.840174675,-0.353515267,5.193689823,263.741089,False,False
19,1-3,54,1939,340512.000000,324078.718750,4.826050758,-0.353515267,5.179565907,464.741089,False,False
20,1-3,1360,197,295701.000000,281512.062500,4.798408031,-0.353515267,5.151923180,1832.497803,False,False
21,1-3,693,1923,303282.031250,288769.593750,4.785128593,-0.353515267,5.138643742,136.119385,False,False
22,1-3,1261,1902,343108.000000,326705.593750,4.780537128,-0.353515267,5.134052277,708.254272,False,False
23,1-3,1236,1904,338830.031250,322744.593750,4.747339249,-0.353515267,5.100854397,682.860474,False,False
24,1-3,187,1935,334609.031250,318798.000000,4.725218773,-0.353515267,5.078733921,332.528687,False,False
25,1-3,1643,1903,307918.031250,293458.281250,4.695973396,-0.353515267,5.049488544,362.756592,False,False
26,1-3,1656,1901,304940.000000,290637.812500,4.690164566,-0.353515267,5.043679714,350.150391,False,False
27,1-3,1267,555,302982.968750,288921.625000,4.640969753,-0.353515267,4.994484901,1525.704834,False,False
28,1-3,485,1928,308733.968750,294405.843750,4.640929222,-0.353515267,4.994444370,40.578293,False,False
29,1-3,497,1925,336106.000000,320667.843750,4.593235016,-0.353515267,4.946750164,33.599995,False,False
30,1-3,731,1919,326893.968750,312050.375000,4.540804863,-0.353515267,4.894320011,174.906982,False,False
31,1-3,1271,536,305150.968750,291342.156250,4.525242329,-0.353515267,4.878757477,1538.433594,False,False
32,1-3,851,1916,333894.968750,319166.875000,4.410994053,-0.353515267,4.764509201,295.497681,False,False
33,1-3,959,1913,316156.968750,302230.812500,4.404815674,-0.353515267,4.758330822,404.088379,False,False
34,1-3,327,1935,303906.000000,290609.250000,4.375278950,-0.353515267,4.728794098,192.528687,False,False
35,1-3,1366,192,297886.000000,284998.906250,4.326180458,-0.353515267,4.679695606,1836.316406,False,False
36,1-3,1248,1903,341661.968750,326955.000000,4.304535866,-0.353515267,4.658051014,695.057373,False,False
37,1-3,1612,1902,296421.000000,283904.531250,4.222529888,-0.353515267,4.576045036,393.953491,False,False
38,1-3,1008,1909,339103.000000,324914.000000,4.184274673,-0.353515267,4.537789822,453.875977,False,False
39,1-3,1450,1896,331469.000000,317715.687500,4.149202824,-0.353515267,4.502717972,557.134888,False,False
