rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-5,1248,546,308964.000000,279704.968750,9.470042229,-0.457385838,9.927428246,1189.733398,False,False
2,1-5,1254,549,302756.031250,278272.437500,8.086905479,-0.457385838,8.544291496,1195.142700,False,False
3,1-5,1897,1914,311282.000000,296620.500000,4.710036278,-0.457385838,5.167422295,2021.967896,False,False
4,1-5,367,1329,310471.000000,296990.281250,4.342025757,-0.457385838,4.799411774,480.325012,False,False
5,1-5,1204,1387,308729.000000,297113.718750,3.762293577,-0.457385838,4.219679356,1174.480713,False,False
6,1-5,911,143,304115.000000,292844.937500,3.705850601,-0.457385838,4.163236618,1074.666992,False,False
7,1-5,449,434,292883.031250,282654.718750,3.492285728,-0.457385838,3.949671507,554.632874,False,False
8,1-5,367,1336,322211.000000,311463.500000,3.335544825,-0.457385838,3.792930603,485.903351,False,False
9,1-5,1241,543,300277.968750,290619.187500,3.216616154,-0.457385838,3.674001932,1183.324097,False,False
10,1-5,455,437,296501.968750,287026.812500,3.195650816,-0.457385838,3.653036594,555.860718,False,False
11,1-5,1249,553,301838.000000,292222.937500,3.185497284,-0.457385838,3.642883062,1189.355103,False,False
12,1-5,1240,536,301737.031250,292142.093750,3.179893732,-0.457385838,3.637279510,1183.702393,False,False
13,1-5,1408,449,297659.000000,288509.875000,3.073688507,-0.457385838,3.531074286,1368.832642,False,False
14,1-5,1809,868,294966.000000,285943.687500,3.058759212,-0.457385838,3.516144991,1687.331787,False,False
15,1-5,1899,1922,314963.000000,305337.281250,3.056145668,-0.457385838,3.513531446,2028.386353,False,False
16,1-5,359,1943,313539.000000,304267.906250,2.956913710,-0.457385838,3.414299488,1070.603149,False,False
17,1-5,1985,623,308213.031250,299461.562500,2.839419365,-0.457385838,3.296805143,1911.572144,False,False
18,1-5,1353,131,310588.000000,301794.593750,2.831219435,-0.457385838,3.288605213,1434.125610,False,False
19,1-5,350,1974,314765.968750,305991.750000,2.787544489,-0.457385838,3.244930267,1099.831055,False,False
20,1-5,904,925,319794.000000,310910.843750,2.777771235,-0.457385838,3.235157013,783.513184,False,False
