rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-2,1273,537,306985.968750,275923.875000,10.118406296,-0.474708945,10.593114853,1426.931885,False,False
2,1-2,1221,1368,302774.031250,274425.906250,9.362801552,-0.474708945,9.837510109,679.538574,False,False
3,1-2,731,400,295809.000000,273951.531250,7.389040947,-0.474708945,7.863749981,1458.590698,False,False
4,1-2,732,407,293610.000000,274060.125000,6.658444405,-0.474708945,7.133153439,1451.393799,False,False
5,1-2,385,1318,318480.968750,300643.531250,5.600788593,-0.474708945,6.075497627,626.720398,False,False
6,1-2,402,351,295383.000000,279172.468750,5.487971306,-0.474708945,5.962680340,1568.023315,False,False
7,1-2,1385,1820,326174.000000,309413.343750,5.138561249,-0.474708945,5.613270283,641.238770,False,False
8,1-2,1037,1843,307776.000000,292916.250000,4.828103065,-0.474708945,5.302812099,288.710083,False,False
9,1-2,1268,1832,300383.000000,285958.062500,4.802181244,-0.474708945,5.276890278,521.875977,False,False
10,1-2,975,1832,328495.000000,312750.656250,4.792865276,-0.474708945,5.267574310,228.875977,False,False
11,1-2,472,410,293888.968750,280608.593750,4.518846035,-0.474708945,4.993555069,1495.240356,False,False
12,1-2,733,415,294653.031250,281382.562500,4.503766537,-0.474708945,4.978475571,1443.196899,False,False
13,1-2,726,412,296087.000000,282783.968750,4.492951870,-0.474708945,4.967660904,1446.378296,False,False
14,1-2,739,410,294649.000000,281455.625000,4.477663994,-0.474708945,4.952373028,1448.787598,False,False
15,1-2,1108,1828,332437.000000,317793.343750,4.404940605,-0.474708945,4.879649639,362.663574,False,False
16,1-2,1271,523,302788.968750,289684.187500,4.328030586,-0.474708945,4.802739620,1440.538086,False,False
17,1-2,1916,1904,308535.968750,295371.906250,4.266627312,-0.474708945,4.741336346,1166.922485,False,False
