rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-1,470,409,293499.000000,269094.406250,8.315052986,0.134829655,8.180223465,355.252289,False,False
2,1-1,1913,1894,313740.031250,292302.531250,6.832881927,0.134829655,6.698052406,2167.074707,False,False
3,1-1,411,1967,310805.031250,292303.875000,5.952656269,0.134829655,5.817826748,1907.800049,False,False
4,1-1,382,1309,320191.968750,301787.875000,5.747831821,0.134829655,5.613002300,1255.510132,False,False
5,1-1,1256,515,305145.000000,290118.031250,4.924530506,0.134829655,4.789700985,703.505493,False,False
6,1-1,1810,1555,324417.968750,310436.375000,4.309739113,0.134829655,4.174909592,1834.820190,False,False
7,1-1,375,1306,322803.000000,308929.187500,4.297921658,0.134829655,4.163092136,1253.888428,False,False
8,1-1,1225,1363,314158.000000,300838.468750,4.239750862,0.134829655,4.104921341,1361.885376,False,False
9,1-1,383,1316,317290.000000,304156.656250,4.139219761,0.134829655,4.004390240,1262.313232,False,False
10,1-1,1825,847,295917.000000,283811.125000,4.090960503,0.134829655,3.956130743,1357.170654,False,False
11,1-1,1261,511,300072.968750,288483.468750,3.862230539,0.134829655,3.727400780,705.077698,False,False
12,1-1,426,1980,301224.000000,289933.625000,3.748160601,0.134829655,3.613330841,1917.846558,False,False
13,1-1,423,1902,313648.031250,302007.656250,3.711289167,0.134829655,3.576459408,1840.437256,False,False
14,1-1,1224,1355,314543.000000,302958.937500,3.682826519,0.134829655,3.547996759,1353.688477,False,False
15,1-1,424,1973,305861.000000,294652.531250,3.664558411,0.134829655,3.529728651,1911.240356,False,False
16,1-1,437,1971,309765.000000,298713.125000,3.567821503,0.134829655,3.432991743,1906.680664,False,False
17,1-1,1242,1973,328213.000000,316570.593750,3.547204256,0.134829655,3.412374496,1975.232666,False,False
18,1-1,398,1961,312626.000000,301541.187500,3.545716047,0.134829655,3.410886288,1904.359741,False,False
19,1-1,439,1930,316575.968750,305360.625000,3.542707205,0.134829655,3.407877445,1865.286865,False,False
20,1-1,618,1659,313839.000000,302965.937500,3.464532375,0.134829655,3.329702616,1559.041870,False,False
21,1-1,418,1970,305052.968750,294539.125000,3.446561813,0.134829655,3.311732054,1909.421753,False,False
22,1-1,1243,1981,331378.031250,319984.750000,3.438156366,0.134829655,3.303326607,1983.429565,False,False
23,1-1,820,2003,320217.000000,309234.656250,3.429653168,0.134829655,3.294823408,1922.141113,False,False
24,1-1,1577,1569,322999.000000,311956.625000,3.418708324,0.134829655,3.283878565,1705.443481,False,False
25,1-1,1223,1348,315669.000000,304898.000000,3.412116051,0.134829655,3.277286291,1346.491577,False,False
26,1-1,392,1965,310078.000000,299514.531250,3.406712055,0.134829655,3.271882296,1909.541138,False,False
27,1-1,204,1972,321418.000000,310553.000000,3.380330324,0.134829655,3.245500565,1953.558228,False,False
28,1-1,680,1645,314974.000000,304376.000000,3.364720106,0.134829655,3.229890347,1536.575195,False,False
29,1-1,415,1204,316875.000000,306236.593750,3.357285976,0.134829655,3.222456217,1144.012451,False,False
30,1-1,1105,1653,321515.000000,310742.906250,3.350414753,0.134829655,3.215584993,1628.257446,False,False
31,1-1,302,1953,321125.000000,310376.875000,3.347019911,0.134829655,3.212190151,1915.262085,False,False
32,1-1,1492,1714,315978.000000,305403.531250,3.346582413,0.134829655,3.211752653,1769.731934,False,False
33,1-1,1912,1887,312324.000000,301875.406250,3.345443010,0.134829655,3.210613251,2160.894043,False,False
34,1-1,267,963,315556.031250,305062.562500,3.325388908,0.134829655,3.190559149,932.153564,False,False
35,1-1,439,1938,310380.000000,300081.187500,3.318129778,0.134829655,3.183300018,1873.286865,False,False
36,1-1,891,1838,323919.000000,313193.656250,3.311116934,0.134829655,3.176287174,1771.120972,False,False
37,1-1,123,1978,328806.000000,317980.718750,3.292306900,0.134829655,3.157477140,1975.507080,False,False
38,1-1,686,1648,311300.000000,301129.687500,3.267045736,0.134829655,3.132215977,1540.756592,False,False
39,1-1,2001,898,304122.000000,294260.718750,3.242532969,0.134829655,3.107703209,1528.182983,False,False
