rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-8,1201,1373,306789.000000,281047.593750,8.390594482,-0.323227882,8.713822365,793.229492,False,False
2,1-8,1247,546,307102.000000,285905.781250,6.902009010,-0.323227882,7.225236893,801.309448,False,False
3,1-8,1240,536,303503.000000,283826.125000,6.483249187,-0.323227882,6.806477070,812.918640,False,False
4,1-8,508,1190,318088.000000,297868.562500,6.356555939,-0.323227882,6.679783821,1476.576782,False,False
5,1-8,1898,320,358382.000000,335603.500000,6.355926514,-0.323227882,6.679154396,638.617065,False,False
6,1-8,364,1322,316084.031250,296252.406250,6.274155617,-0.323227882,6.597383499,1640.271362,False,False
7,1-8,1965,1687,310283.968750,290858.250000,6.260630608,-0.323227882,6.583858490,28.165895,False,False
8,1-8,503,1194,318191.031250,298446.406250,6.205267906,-0.323227882,6.528495789,1482.364380,False,False
9,1-8,1245,524,300907.000000,282402.093750,6.149709225,-0.323227882,6.472937107,816.171204,False,False
10,1-8,1966,1814,296732.968750,278761.812500,6.056342125,-0.323227882,6.379570007,154.968994,False,False
11,1-8,1239,529,309459.031250,291191.375000,5.903094769,-0.323227882,6.226322651,817.937195,False,False
12,1-8,1244,182,306692.000000,288773.937500,5.842366219,-0.323227882,6.165594101,1036.606689,False,False
13,1-8,1130,187,302366.000000,285111.093750,5.706634521,-0.323227882,6.029862404,1111.067627,False,False
14,1-8,1968,1821,303059.031250,286141.656250,5.582201958,-0.323227882,5.905429840,161.575195,False,False
15,1-8,1799,164,329386.000000,311113.000000,5.547595501,-0.323227882,5.870823383,814.110107,False,False
16,1-8,1968,1884,297362.000000,280872.218750,5.545355320,-0.323227882,5.868583202,224.575195,False,False
17,1-8,1949,1562,302124.000000,285427.687500,5.526319981,-0.323227882,5.849547863,9.000000,False,False
18,1-8,1969,2011,300179.968750,283698.312500,5.490591049,-0.323227882,5.813818932,351.378296,False,False
19,1-8,1969,1877,302126.000000,285553.187500,5.485406876,-0.323227882,5.808634758,217.378296,False,False
20,1-8,2008,109,326336.031250,308521.406250,5.458975792,-0.323227882,5.782203674,848.041870,False,False
21,1-8,1219,185,298933.000000,282703.687500,5.429080963,-0.323227882,5.752308846,1049.294800,False,False
22,1-8,1964,1609,310455.968750,293909.531250,5.329720497,-0.323227882,5.652948380,23.575195,False,False
23,1-8,1824,161,336982.968750,319071.687500,5.315190792,-0.323227882,5.638418674,812.187622,False,False
24,1-8,1313,178,314253.000000,297624.718750,5.291366577,-0.323227882,5.614594460,998.176880,False,False
25,1-8,1897,313,351405.000000,332838.437500,5.283521652,-0.323227882,5.606749535,645.813965,False,False
26,1-8,1257,180,309857.968750,293750.187500,5.198441982,-0.323227882,5.521669865,1030.359497,False,False
27,1-8,1630,122,301187.000000,285694.250000,5.143891811,-0.323227882,5.467119694,889.386108,False,False
28,1-8,1288,181,307085.000000,291388.031250,5.111607075,-0.323227882,5.434834957,1010.864990,False,False
29,1-8,1276,182,307802.031250,292121.875000,5.094227791,-0.323227882,5.417455673,1017.305908,False,False
30,1-8,1269,179,314868.000000,298832.718750,5.092700958,-0.323227882,5.415928841,1023.918579,False,False
31,1-8,966,190,300040.968750,284962.500000,5.025476456,-0.323227882,5.348704338,1239.945679,False,False
32,1-8,1785,88,348913.968750,331408.687500,5.017071724,-0.323227882,5.340299606,892.866699,False,False
33,1-8,1168,183,310279.968750,294718.750000,5.015222549,-0.323227882,5.338450432,1083.198975,False,False
34,1-8,1962,1959,300869.000000,285892.406250,4.977775574,-0.323227882,5.301003456,300.756592,False,False
35,1-8,1656,121,295227.031250,280549.312500,4.971670151,-0.323227882,5.294898033,885.266724,False,False
36,1-8,1969,2004,293275.000000,278771.656250,4.945304394,-0.323227882,5.268532276,344.378296,False,False
37,1-8,1112,185,305869.000000,290762.468750,4.938885689,-0.323227882,5.262113571,1126.617676,False,False
38,1-8,1637,119,327285.000000,311424.531250,4.846074581,-0.323227882,5.169302464,891.007812,False,False
39,1-8,1332,179,305971.000000,291220.437500,4.820900440,-0.323227882,5.144128323,985.920166,False,False
40,1-8,1573,124,304879.000000,290358.437500,4.762728691,-0.323227882,5.085956573,898.609375,False,False
41,1-8,1969,1948,296632.000000,282750.468750,4.679717064,-0.323227882,5.002944946,288.378296,False,False
42,1-8,1970,1724,314974.000000,300259.500000,4.671653271,-0.323227882,4.994881153,64.181396,False,False
43,1-8,1969,1716,319601.000000,304716.125000,4.657328129,-0.323227882,4.980556011,56.378296,False,False
44,1-8,1793,161,348285.031250,332129.781250,4.638514996,-0.323227882,4.961742878,818.291504,False,False
45,1-8,934,190,310277.968750,295910.812500,4.630424023,-0.323227882,4.953651905,1265.445679,False,False
46,1-8,523,203,313754.000000,299324.312500,4.599044323,-0.323227882,4.922272205,1585.128296,False,False
47,1-8,125,221,298743.968750,285046.812500,4.584918022,-0.323227882,4.908145905,1961.508667,False,False
48,1-8,1968,1709,321512.000000,307057.468750,4.495797634,-0.323227882,4.819025517,49.575195,False,False
49,1-8,1972,1963,303067.000000,289475.406250,4.484686852,-0.323227882,4.807914734,302.787598,False,False
