rank,fov,x_px,y_px,pre_3x3_sum_adu,post_3x3_sum_adu,raw_decrease_pct,fov_median_raw_decrease_pct,median_centered_decrease_pct,distance_to_image_derived_defect_px,inside_image_derived_defect_mask,primary_log_coordinate_available
1,1-6,82,951,344582.031250,308010.812500,10.613212585,1.403298259,9.209914207,37.378296,False,False
2,1-6,89,1129,363151.031250,326840.031250,9.998864174,1.403298259,8.595565796,216.756592,False,False
3,1-6,411,1126,324004.031250,292349.968750,9.769646645,1.403298259,8.366348267,388.873779,False,False
4,1-6,36,1142,342074.000000,309785.437500,9.439060211,1.403298259,8.035761833,234.679077,False,False
5,1-6,246,1122,318805.000000,288748.875000,9.427748680,1.403298259,8.024450302,265.050568,False,False
6,1-6,498,1165,323828.968750,293496.500000,9.366819382,1.403298259,7.963521004,481.725006,False,False
7,1-6,34,1071,335805.000000,304472.062500,9.330691338,1.403298259,7.927392960,164.072876,False,False
8,1-6,35,1079,338145.000000,307098.562500,9.181396484,1.403298259,7.778098106,171.875977,False,False
9,1-6,90,1137,359636.000000,326917.906250,9.097558022,1.403298259,7.694259644,224.953491,False,False
10,1-6,557,1128,326931.000000,297467.562500,9.012132645,1.403298259,7.608834267,511.302368,False,False
11,1-6,391,1117,324506.000000,295279.593750,9.006427765,1.403298259,7.603129387,367.507874,False,False
12,1-6,88,1058,350838.000000,319418.531250,8.955546379,1.403298259,7.552248001,145.559692,False,False
13,1-6,579,991,322011.000000,293266.093750,8.926684380,1.403298259,7.523386002,506.327148,False,False
14,1-6,567,1217,323299.968750,294811.437500,8.811796188,1.403298259,7.408497810,568.072083,False,False
15,1-6,33,1064,334411.031250,304960.656250,8.806635857,1.403298259,7.403337479,157.269775,False,False
16,1-6,420,1095,320391.031250,292216.375000,8.793827057,1.403298259,7.390528679,377.350189,False,False
17,1-6,37,1262,334673.000000,305333.968750,8.766474724,1.403298259,7.363176346,354.482178,False,False
18,1-6,409,1224,313182.031250,285732.187500,8.764817238,1.403298259,7.361518860,446.383209,False,False
19,1-6,466,1165,323700.968750,295366.906250,8.753161430,1.403298259,7.349863052,456.224030,False,False
20,1-6,480,1122,322228.000000,294065.562500,8.739902496,1.403298259,7.336604118,441.447906,False,False
21,1-6,350,1148,320116.000000,292140.625000,8.739130020,1.403298259,7.335831642,353.530853,False,False
22,1-6,608,1074,322720.968750,294547.937500,8.729844093,1.403298259,7.326545715,551.669800,False,False
23,1-6,287,1099,318801.000000,290989.500000,8.723784447,1.403298259,7.320486069,273.774628,False,False
24,1-6,33,1120,334041.000000,304917.031250,8.718679428,1.403298259,7.315381050,213.269775,False,False
25,1-6,1270,936,313627.000000,286288.500000,8.716879845,1.403298259,7.313581467,932.165894,False,False
26,1-6,456,1076,319408.000000,291658.906250,8.687667847,1.403298259,7.284369469,400.063599,False,False
27,1-6,754,1132,322128.000000,294168.968750,8.679472923,1.403298259,7.276174545,709.089966,False,False
28,1-6,616,1140,322197.031250,294253.218750,8.672889709,1.403298259,7.269591331,572.665161,False,False
29,1-6,511,1171,320311.000000,292531.312500,8.672719002,1.403298259,7.269420624,495.703308,False,False
30,1-6,39,1340,341652.968750,312057.250000,8.662513733,1.403298259,7.259215355,432.088379,False,False
31,1-6,573,988,321800.000000,293924.250000,8.662440300,1.403298259,7.259141922,499.736450,False,False
32,1-6,392,1012,320996.031250,293208.062500,8.656799316,1.403298259,7.253500938,323.462036,False,False
33,1-6,94,1286,353998.031250,323383.437500,8.648239136,1.403298259,7.244940758,374.741089,False,False
34,1-6,748,1137,322024.000000,294228.031250,8.631639481,1.403298259,7.228341103,704.074463,False,False
35,1-6,809,1115,321418.000000,293725.718750,8.615664482,1.403298259,7.212366104,760.742676,False,False
36,1-6,573,1156,324404.000000,296467.593750,8.611603737,1.403298259,7.208305359,536.065125,False,False
37,1-6,393,1083,322519.031250,294804.437500,8.593160629,1.403298259,7.189862251,348.596680,False,False
38,1-6,685,1024,318910.000000,291557.937500,8.576740265,1.403298259,7.173441887,618.824829,False,False
39,1-6,548,1159,322611.968750,294949.218750,8.574624062,1.403298259,7.171325684,517.951782,False,False
40,1-6,362,1139,319693.031250,292291.656250,8.571147919,1.403298259,7.167849541,357.665680,False,False
41,1-6,508,1085,323128.968750,295470.781250,8.559493065,1.403298259,7.156194687,453.835693,False,False
42,1-6,645,1126,321207.031250,293713.843750,8.559341431,1.403298259,7.156043053,598.908569,False,False
